word,count
concentration,11193
soil,10451
radiation,8368
137cs,7584
activity,6967
water,6936
study,6815
result,6544
plant,6344
dose,6223
level,6219
effect,6064
radionuclides,5561
model,5208
sample,5163
data,4853
rate,4685
nuclear,4625
area,4570
value,4496
exposure,4387
time,4379
cell,4165
sediment,4117
different,3991
used,3904
factor,3737
using,3703
specie,3653
site,3536
high,3505
year,3495
method,3478
radioactive,3433
also,3410
analysis,3345
contamination,3263
found,3215
system,3182
low,3154
higher,3035
environmental,3015
accident,2962
environment,2943
two,2917
distribution,2845
content,2826
transfer,2780
natural,2772
observed,2717
group,2641
radionuclide,2627
ratio,2584
chernobyl,2559
may,2518
well,2516
process,2494
one,2479
population,2479
condition,2469
based,2434
significant,2428
total,2355
element,2352
studied,2334
due,2331
present,2325
fish,2318
change,2309
increase,2305
river,2304
irradiation,2299
day,2297
surface,2288
metal,2264
contaminated,2263
dos,2261
within,2229
uptake,2211
source,2179
compared,2150
measured,2123
risk,2111
measurement,2108
range,2107
obtained,2088
period,2077
determined,2073
sea,2072
region,2053
human,2046
showed,2041
90sr,1978
mean,1973
parameter,1966
material,1964
increased,1963
respectively,1955
uranium,1908
animal,1904
however,1875
exposed,1856
assessment,1853
specific,1843
field,1839
long,1835
tissue,1830
food,1828
chemical,1826
three,1826
term,1823
particle,1811
use,1780
ecosystem,1777
control,1755
accumulation,1753
lake,1745
impact,1742
body,1740
order,1721
experiment,1709
type,1703
biological,1700
research,1694
significantly,1692
fallout,1676
deposition,1674
collected,1663
potential,1645
paper,1637
number,1632
gamma,1627
forest,1620
lower,1610
important,1606
power,1597
difference,1586
first,1577
estimated,1577
average,1573
development,1564
part,1561
organism,1549
test,1547
marine,1523
response,1518
approach,1513
show,1506
waste,1498
organic,1497
various,1455
non,1410
zone,1406
associated,1397
solution,1394
could,1391
dna,1368
possible,1354
main,1347
available,1345
individual,1341
estimate,1339
radioactivity,1331
release,1331
effective,1330
investigated,1328
growth,1323
presented,1321
decrease,1310
shown,1309
induced,1298
experimental,1293
large,1290
including,1288
case,1288
influence,1282
240pu,1281
work,1277
new,1268
mechanism,1253
isotope,1251
form,1251
developed,1247
fraction,1245
amount,1239
component,1195
life,1188
treatment,1187
calculated,1186
information,1182
state,1181
monitoring,1180
transport,1175
radiological,1172
layer,1171
product,1170
carried,1163
variation,1162
several,1154
maximum,1152
production,1147
following,1142
among,1138
technique,1138
ray,1134
background,1133
similar,1132
root,1129
mass,1126
related,1124
considered,1120
health,1112
damage,1103
energy,1088
226ra,1075
complex,1075
le,1069
irradiated,1069
performed,1067
application,1067
highest,1064
frequency,1055
characteristic,1050
air,1050
