word,count
radiation,1489
soil,1352
effect,1175
nuclear,1035
plant,1028
radionuclides,890
chernobyl,847
137cs,791
water,773
radioactive,720
accident,655
environmental,653
study,636
concentration,604
assessment,604
transfer,571
distribution,570
sediment,567
environment,528
dose,527
natural,519
model,489
analysis,488
contamination,485
sea,482
exposure,482
uranium,458
area,431
using,422
river,422
system,421
marine,409
cell,402
radionuclide,390
power,384
radioactivity,376
level,371
uptake,364
ecosystem,364
site,359
activity,357
metal,354
forest,348
low,348
accumulation,347
irradiation,335
contaminated,327
determination,320
impact,318
human,316
zone,307
population,305
sample,290
influence,289
lake,289
fukushima,287
region,283
fish,281
waste,281
radiological,280
gamma,278
element,276
induced,272
application,271
risk,271
method,269
measurement,267
factor,265
plutonium,265
long,263
90sr,257
radioecological,257
fallout,257
review,256
chemical,254
radiocesium,243
dynamic,242
monitoring,240
term,234
ionizing,234
development,234
field,234
response,233
rate,232
condition,229
trace,225
different,224
biological,222
specie,221
radiocaesium,220
evaluation,218
cesium,217
approach,215
food,203
surface,203
mouse,200
change,196
based,196
content,192
test,192
exposed,192
use,190
isotope,189
dna,188
aquatic,187
freshwater,187
high,186
dos,186
data,183
chronic,183
new,181
variation,179
source,178
japan,176
research,173
transport,173
iodine,170
rat,170
radon,169
ecological,169
migration,166
heavy,165
spectrometry,165
particle,164
tritium,164
material,164
cancer,161
comparison,160
tissue,158
ray,155
protection,155
year,154
investigation,153
experimental,153
state,151
estimation,150
coastal,149
modelling,149
deposition,148
pollution,148
north,147
radioecology,146
production,145
role,144
biota,141
result,141
body,141
non,139
exclusion,136
potential,135
strontium,135
blood,135
atmospheric,135
fuel,135
animal,134
process,133
ratio,133
part,131
parameter,131
caesium,129
northern,129
210pb,128
consequence,128
two,128
product,128
release,127
organism,126
terrestrial,125
following,125
russia,125
reactor,124
damage,121
around,121
stress,121
organic,121
characteristic,119
time,119
arctic,118
bioaccumulation,118
property,118
health,118
growth,116
agricultural,114
near,114
solution,113
modeling,113
bay,113
ion,113
irradiated,113
npp,112
composition,112
gene,112
mass,112
ocean,111
anthropogenic,110
territory,110
western,110
comparative,110
zinc,108
carbon,108
case,108
behaviour,108
problem,107
mechanism,107
spatial,106
lymphocyte,105
south,105
air,104
southern,104
behavior,104
240pu,104
pacific,104
sorption,103
cadmium,103
extraction,102
energy,102
implication,101
210po,100
artificial,100
interaction,100
russian,99
various,99
life,98
reference,98
mining,98
technique,98
current,97
tree,97
pine,97
lead,96
facility,96
cytogenetic,95
management,95
coast,93
ukraine,93
status,93
vegetation,93
treatment,91
lichen,91
structure,90
semipalatinsk,90
complex,90
estimate,90
indicator,89
bone,89
derived,89
reservoir,88
experiment,88
milk,88
black,88
within,88
226ra,88
japanese,88
bottom,87
associated,86
retention,86
pathway,85
laboratory,85
ground,85
due,85
characterization,85
acute,85
seawater,85
dispersion,84
basin,83
eastern,83
vertical,83
small,83
situation,82
safety,82
component,82
relationship,82
east,81
speciation,81
acid,81
liquid,81
thyroid,81
cycle,80
three,80
stable,79
genetic,79
separation,79
combined,78
tool,78
simulation,78
neutron,78
quality,78
absorption,78
plasma,78
france,78
vicinity,77
root,77
aerosol,77
chain,77
tropical,77
toxicity,77
brazil,76
temporal,76
formation,76
frequency,76
matter,76
electromagnetic,76
support,75
40k,75
external,75
land,74
variability,74
pond,73
reprocessing,73
mine,73
aspect,73
de,73
type,72
estuary,72
dosimetry,72
atomic,72
oxidative,72
related,72
coefficient,71
chornobyl,71
affected,71
function,71
seasonal,71
global,70
decision,70
island,70
collected,70
copper,70
selected,70
worker,69
129i,68
background,68
survey,68
disposal,68
remediation,68
pattern,68
internal,67
temperature,67
post,67
form,66
mediterranean,66
flux,66
prediction,65
emergency,65
mineral,65
possible,65
european,65
wild,64
alpha,64
period,64
child,63
radium,63
activation,63
antioxidant,63
control,63
crop,62
profile,62
individual,62
thorium,62
molecular,62
134cs,62
kinetics,62
community,61
contribution,61
recent,61
tracer,61
international,61
man,61
coal,60
seed,60
stem,60
central,60
evidence,60
discharge,60
241am,60
solid,60
science,60
coupled,60
action,59
mammal,59
phase,59
republic,59
intake,59
americium,59
hazard,58
radiochemistry,58
disease,58
sensitivity,58
adsorption,58
therapy,58
reaction,58
west,58
emission,58
relation,58
early,57
isotopic,57
vivo,57
red,57
short,57
methodology,57
group,57
calcium,57
industry,57
radiostrontium,57
phosphate,56
strategy,56
effective,56
perspective,56
potassium,56
salt,56
actinide,56
living,55
detection,55
testing,55
bioavailability,55
grass,55
specific,55
medium,55
storage,55
spent,55
overview,55
mussel,55
experience,55
belarus,55
mercury,54
metabolism,54
future,54
uncertainty,54
local,54
urban,54
size,54
assay,54
mushroom,54
trend,53
thermal,53
stage,53
algae,53
countermeasure,53
used,53
deposit,53
first,53
scale,53
geochemical,53
60co,53
among,53
14c,52
removal,52
former,52
fate,52
scot,52
protein,52
leaf,52
radioisotope,52
rodent,51
spain,51
landscape,51
peripheral,51
along,51
organ,51
submarine,51
ural,50
inventory,50
groundwater,50
cooling,50
reconstruction,50
iii,50
pinus,50
china,50
efficiency,50
brain,50
stream,50
estuarine,50
assessing,49
index,49
polonium,49
large,49
yenisei,49
total,48
radiosensitivity,48
issue,48
value,48
history,48
object,48
dependent,48
drosophila,48
tumor,48
medical,48
grassland,48
situ,48
baltic,48
proton,47
radio,47
estimating,47
accidental,47
patient,47
public,47
feature,47
inductively,47
project,47
cobalt,47
flow,47
lived,47
contaminant,46
bystander,46
earth,46
vitro,46
aberration,46
nutrient,46
iron,46
ionising,46
age,46
adaptive,46
catchment,46
icp,45
calculation,45
half,45
tailing,45
injury,45
norway,45
expression,45
compound,45
preparation,45
238u,45
daiichi,45
atlantic,45
chromosome,45
detector,45
containing,45
ingestion,45
mobility,45
croatia,44
atmosphere,44
functional,44
india,44
liver,44
channel,44
operation,44
particulate,44
industrial,44
urals,44
greece,44
example,44
loss,44
rock,44
radiochemical,44
mountain,44
preliminary,44
exchange,44
dans,44
observation,43
naturally,43
ash,43
via,43
translocation,43
italy,43
building,43
predicting,43
technetium,43
dissolved,43
depleted,43
poland,42
association,42
station,42
underground,42
identification,42
fruit,42
whole,42
wildlife,42
mitochondrial,42
trophic,42
desert,42
oyster,42
occurring,41
intensity,41
radioprotective,41
sampling,41
232th,41
europe,41
scientific,41
bibliography,41
phytoplankton,40
occurrence,40
rapid,40
moss,40
radioactively,40
technogenic,40
basis,40
criterion,40
evolution,40
protective,40
survival,40
deep,40
reindeer,40
semi,40
generation,40
explosion,40
sweden,40
rice,40
diet,39
kazakhstan,39
norm,39
mapping,39
of137cs,39
male,39
instability,39
single,39
caused,39
wood,39
gas,39
marker,39
rhone,39
sequential,39
aqueous,39
fungi,39
fission,39
french,39
peninsula,38
chemistry,38
dai,38
ichi,38
multi,38
disaster,38
enhanced,38
agent,38
measure,38
technology,38
common,38
reproductive,38
major,38
normal,38
effectiveness,38
wheat,38
gulf,38
weapon,38
bank,37
vole,37
section,37
quantitative,37
syndrome,37
bivalve,37
processing,37
event,37
sylvestris,37
radiometric,37
effluent,37
131i,37
suspended,37
irish,37
induction,36
adjacent,36
grown,36
microwave,36
immune,36
annual,36
layer,36
indoor,36
phosphorus,36
multiple,36
resistance,36
analytical,36
city,36
retrospective,36
microbial,36
difference,36
light,36
polymorphism,36
pasture,36
apoptosis,36
recovery,36
feeding,36
repair,36
trout,36
fraction,35
physical,35
climate,35
mill,35
culture,35
physiological,35
melanogaster,35
emitting,35
marrow,35
rokkasho,35
laser,35
marsh,35
deposited,35
beta,35
mathematical,35
concept,35
importance,35
consumption,35
availability,35
chromatography,35
cycling,35
critical,34
mesenchymal,34
phosphogypsum,34
progeny,34
magnetic,34
dependence,34
report,34
sorbent,34
erosion,34
matrix,34
towards,34
validation,34
le,34
membrane,33
toxic,33
correlation,33
applied,33
standard,33
biosphere,33
chromosomal,33
meat,33
substance,33
oxygen,33
redistribution,33
legacy,33
origin,33
free,33
techa,33
sedimentation,32
aging,32
clay,32
monte,32
mytilus,32
fast,32
information,32
cow,32
wet,32
peculiarity,32
turkey,32
direct,32
lesson,32
invertebrate,32
incidence,32
affecting,32
elimination,32
floodplain,32
space,32
cellular,32
dietary,32
brown,31
design,31
radioiodine,31
mean,31
national,31
carlo,31
core,31
column,31
vegetable,31
quantification,31
metabolic,31
program,31
decontamination,31
four,31
mobile,31
northwest,31
line,31
chronically,31
mayak,31
coral,31
benthic,31
literature,31
239pu,31
kara,31
decay,31
predict,31
simple,31
adaptation,31
regional,31
crassostrea,31
airborne,31
ecology,31
evaluating,30
mutation,30
extract,30
geological,30
ass,30
earthworm,30
prospect,30
series,30
silver,30
rare,30
drinking,30
biomass,30
late,30
antarctic,30
polluted,30
excretion,30
released,30
relative,30
biology,30
manganese,30
chapter,30
hot,29
special,29
measured,29
need,29
repository,29
precipitation,29
integrated,29
synthesis,29
record,29
egg,29
increased,29
range,29
bacteria,29
people,29
carcinoma,29
modern,29
fractionation,29
foliar,29
erythrocyte,29
swedish,29
resident,29
fresh,29
dust,29
scintillation,29
sheep,29
etude,29
barents,28
selenium,28
network,28
elemental,28
number,28
lung,28
adult,28
performance,28
occupational,28
oxide,28
genome,28
statistical,28
balance,28
resuspension,28
oil,28
bryansk,28
ukrainian,28
present,28
clam,28
65zn,28
deer,28
hazardous,27
alpine,27
skin,27
cultivated,27
main,27
offspring,27
arabidopsis,27
ore,27
fertilizer,27
cation,27
embryo,27
transformation,27
seedling,27
sedimentary,27
green,27
lower,27
spectroscopy,27
lagoon,27
communication,27
85sr,27
dry,27
siberian,26
biochemical,26
electron,26
modified,26
remote,26
boreal,26
affect,26
otsenka,26
daphnia,26
spring,26
novel,26
continental,26
relevant,26
challenge,26
residual,26
sludge,26
radiobiology,26
elevated,26
oxidation,26
pollutant,26
structural,26
nuclides,26
base,26
inhabiting,26
nitrogen,26
measuring,26
sand,26
partitioning,26
simultaneous,26
determining,25
litter,25
cover,25
mediated,25
increase,25
foodstuff,25
past,25
iaea,25
inorganic,25
nature,25
aomori,25
biomonitoring,25
pre,25
century,25
active,25
clinical,25
village,25
reduction,25
consideration,25
general,25
leaching,25
introduction,25
linear,25
heat,25
numerical,25
gland,25
par,25
morphological,24
dating,24
targeted,24
feed,24
boar,24
germany,24
higher,24
inter,24
depth,24
volume,24
brazilian,24
vulgaris,24
english,24
imaging,24
adriatic,24
radiotherapy,24
comprehensive,24
222rn,24
monitor,24
breast,24
bentonite,24
lipid,24
